date,gold,silver
1992-07-27,358.0,3.9725
1992-07-28,359.25,3.9725
1992-07-29,358.2,3.94
1992-07-30,356.75,3.915
1992-07-31,357.95,3.9525
1992-08-03,357.3,3.9415
1992-08-04,352.75,3.876
1992-08-05,352.9,3.88
1992-08-06,349.25,3.9015
1992-08-07,349.85,3.9275
1992-08-10,350.75,3.976
1992-08-11,348.5,3.9425
1992-08-12,346.5,3.8935
1992-08-13,339.25,3.809
1992-08-14,336.0,3.8135
1992-08-17,337.5,3.82
1992-08-18,336.55,3.79
1992-08-19,338.6,3.804
1992-08-20,336.7,3.729
1992-08-21,337.35,3.735
1992-08-24,341.85,3.7615
1992-08-25,340.85,3.7065
1992-08-26,340.35,3.6475
1992-08-27,338.75,3.695
1992-08-28,340.5,3.719
1992-09-01,342.65,3.752
1992-09-02,340.4,3.72
1992-09-03,339.05,3.7165
1992-09-04,341.3,3.7415
1992-09-07,343.25,3.7275
1992-09-08,341.9,3.725
1992-09-09,343.1,3.7475
1992-09-10,341.75,3.73
1992-09-11,341.05,3.6875
1992-09-14,342.75,3.7475
1992-09-15,346.2,3.785
1992-09-16,346.2,3.838
1992-09-17,350.75,3.8275
1992-09-18,348.65,3.8075
1992-09-21,348.25,3.823
1992-09-22,347.5,3.791
1992-09-23,348.9,3.835
1992-09-24,348.9,3.82
1992-09-25,348.35,3.8215
1992-09-28,349.0,3.809
1992-09-29,347.7,3.725
1992-09-30,349.0,3.766
1992-10-01,347.6,3.7525
1992-10-02,348.0,3.7325
1992-10-05,348.75,3.7465
1992-10-06,350.5,3.7585
1992-10-07,349.5,3.7515
1992-10-08,350.0,3.7335
1992-10-09,349.8,3.7455
1992-10-12,348.1,3.744
1992-10-13,343.45,3.7175
1992-10-14,343.3,3.705
1992-10-15,341.75,3.725
1992-10-16,341.75,3.71
1992-10-19,342.25,3.7225
1992-10-20,342.55,3.74
1992-10-21,343.5,3.8135
1992-10-22,342.8,3.8
1992-10-23,343.6,3.799
1992-10-26,341.3,3.7525
1992-10-27,339.1,3.75
1992-10-28,338.2,3.765
1992-10-29,339.5,3.7665
1992-10-30,338.8,3.764
1992-11-02,339.3,3.7565
1992-11-03,338.75,3.793
1992-11-04,336.9,3.795
1992-11-05,337.45,3.8725
1992-11-06,336.7,3.9075
1992-11-09,335.0,3.8585
1992-11-10,330.2,3.713
1992-11-11,331.95,3.6875
1992-11-12,333.2,3.6875
1992-11-13,334.25,3.7985
1992-11-16,336.0,3.762
1992-11-17,333.85,3.7565
1992-11-18,335.4,3.7675
1992-11-19,333.6,3.749
1992-11-20,335.55,3.7725
1992-11-23,334.25,3.752
1992-11-24,333.95,3.7575
1992-11-25,334.75,3.76
1992-11-26,334.65,3.7625
1992-11-27,334.0,3.75
1992-11-30,333.7,3.7325
1992-12-01,334.6,3.76
1992-12-02,335.1,3.7575
1992-12-03,335.9,3.759
1992-12-04,335.9,3.7625
1992-12-07,335.5,3.7585
1992-12-08,335.25,3.7585
1992-12-09,333.4,3.714
1992-12-10,333.9,3.705
1992-12-11,334.2,3.724
1992-12-14,335.3,3.7275
1992-12-15,334.7,3.7165
1992-12-16,334.9,3.714
1992-12-17,337.75,3.75
1992-12-18,337.15,3.775
1992-12-21,336.35,3.75
1992-12-22,334.35,3.7335
1992-12-23,332.55,3.6975
1992-12-29,332.9,3.675
1992-12-30,332.3,3.663
1993-01-04,329.4,3.66
1993-01-05,328.8,3.654
1993-01-06,328.85,3.7
1993-01-07,329.7,3.699
1993-01-08,329.1,3.66
1993-01-11,328.4,3.6655
1993-01-12,328.5,3.678
1993-01-13,327.85,3.6685
1993-01-14,328.2,3.6915
1993-01-15,327.45,3.6665
1993-01-18,327.9,3.673
1993-01-19,329.05,3.6865
1993-01-20,328.65,3.685
1993-01-21,329.85,3.716
1993-01-22,329.4,3.7125
1993-01-25,328.6,3.695
1993-01-26,329.1,3.7015
1993-01-27,330.6,3.675
1993-01-28,329.7,3.69
1993-01-29,330.75,3.7075
1993-02-01,329.5,3.66
1993-02-02,329.35,3.6685
1993-02-03,329.6,3.674
1993-02-04,328.15,3.67
1993-02-05,327.8,3.67
1993-02-08,327.6,3.6575
1993-02-09,327.75,3.6825
1993-02-10,328.7,3.7125
1993-02-11,331.65,3.7675
1993-02-12,330.0,3.742
1993-02-15,328.35,3.688
1993-02-16,329.2,3.687
1993-02-17,331.5,3.705
1993-02-18,329.0,3.656
1993-02-19,331.1,3.64
1993-02-22,328.9,3.5815
1993-02-23,329.2,3.58
1993-02-24,330.35,3.6015
1993-02-25,329.75,3.5895
1993-02-26,328.75,3.5665
1993-03-01,328.4,3.5825
1993-03-02,328.9,3.585
1993-03-03,329.55,3.584
1993-03-04,328.5,3.5725
1993-03-05,329.7,3.587
1993-03-08,328.7,3.575
1993-03-09,327.2,3.56
1993-03-10,326.5,3.57
1993-03-11,326.65,3.6
1993-03-12,326.5,3.64
1993-03-15,327.9,3.625
1993-03-16,329.0,3.65
1993-03-17,328.65,3.6585
1993-03-18,329.5,3.6415
1993-03-19,331.3,3.6775
1993-03-22,332.2,3.6825
1993-03-23,331.9,3.665
1993-03-24,331.3,3.654
1993-03-25,332.65,3.6825
1993-03-26,332.7,3.7175
1993-03-29,331.6,3.704
1993-03-30,333.2,3.7775
1993-03-31,336.9,3.89
1993-04-01,337.0,3.8575
1993-04-02,339.4,3.9715
1993-04-05,339.35,3.8575
1993-04-06,338.45,3.875
1993-04-07,337.15,3.7915
1993-04-08,337.85,3.8775
1993-04-13,336.95,3.8725
1993-04-14,337.55,3.9015
1993-04-15,339.2,3.9325
1993-04-16,337.0,3.87
1993-04-19,340.4,3.975
1993-04-20,341.55,3.9525
1993-04-21,339.15,3.9115
1993-04-22,337.7,3.8775
1993-04-23,340.95,3.9325
1993-04-26,348.55,4.0185
1993-04-27,352.8,4.1025
1993-04-28,349.7,4.045
1993-04-29,354.8,4.36
1993-04-30,353.45,4.2985
1993-05-04,353.4,4.274
1993-05-05,352.75,4.252
1993-05-06,356.1,4.303
1993-05-07,357.5,4.3625
1993-05-10,356.25,4.2775
1993-05-11,355.35,4.244
1993-05-12,356.0,4.2325
1993-05-13,367.0,4.52
1993-05-14,366.6,4.435
1993-05-17,367.85,4.4615
1993-05-18,366.6,4.403
1993-05-19,378.75,4.744
1993-05-20,376.05,4.513
1993-05-21,374.05,4.5225
1993-05-24,380.0,4.7225
1993-05-25,374.35,4.5215
1993-05-26,377.25,4.555
1993-05-27,377.0,4.591
1993-05-28,381.0,4.7135
1993-06-01,378.25,4.615
1993-06-02,368.25,4.365
1993-06-03,370.4,4.385
1993-06-04,377.5,4.5
1993-06-07,375.45,4.355
1993-06-08,373.75,4.3925
1993-06-09,370.65,4.3675
1993-06-10,369.6,4.305
1993-06-11,370.2,4.31
1993-06-14,366.3,4.22
1993-06-15,365.0,4.225
1993-06-16,370.0,4.318
1993-06-17,369.4,4.326
1993-06-18,370.65,4.3425
1993-06-21,369.55,4.29
1993-06-22,369.1,4.2965
1993-06-23,367.0,4.266
1993-06-24,374.1,4.43
1993-06-25,374.6,4.4025
1993-06-28,378.1,4.505
1993-06-29,375.25,4.455
1993-06-30,379.0,4.575
1993-07-01,377.85,4.5475
1993-07-02,390.0,4.835
1993-07-05,387.25,4.885
1993-07-06,388.0,5.07
1993-07-07,397.25,5.1675
1993-07-08,398.4,5.115
1993-07-09,389.4,4.99
1993-07-12,394.4,5.065
1993-07-13,390.4,4.9775
1993-07-14,395.7,5.095
1993-07-15,391.8,4.925
1993-07-16,393.65,5.045
1993-07-19,392.8,5.0685
1993-07-20,391.5,5.045
1993-07-21,391.6,5.05
1993-07-22,389.0,4.9375
1993-07-23,392.6,5.0275
1993-07-26,389.75,4.9665
1993-07-27,393.6,5.105
1993-07-28,391.8,5.065
1993-07-29,394.3,5.145
1993-07-30,403.7,5.3
1993-08-02,406.7,5.42
1993-08-03,404.95,5.3765
1993-08-04,400.65,5.29
1993-08-05,396.45,5.17
1993-08-06,381.9,4.82
1993-08-09,382.5,4.675
1993-08-10,382.2,4.796
1993-08-11,381.35,4.785
1993-08-12,375.35,4.686
1993-08-13,370.45,4.5925
1993-08-16,373.5,4.772
1993-08-17,372.5,4.735
1993-08-18,372.85,4.6925
1993-08-19,373.65,4.725
1993-08-20,370.35,4.6575
1993-08-23,373.6,4.7825
1993-08-24,372.75,4.764
1993-08-25,371.75,4.7475
1993-08-26,371.6,4.725
1993-08-27,370.05,4.6875
1993-08-31,370.6,4.8425
1993-09-01,371.8,4.8325
1993-09-02,369.2,4.72
1993-09-03,363.7,4.555
1993-09-06,364.2,4.525
1993-09-07,362.95,4.5025
1993-09-08,352.25,4.255
1993-09-09,351.35,4.2425
1993-09-10,356.0,4.2775
1993-09-13,348.25,4.064
1993-09-14,342.05,3.9235
1993-09-15,345.25,4.0375
1993-09-16,350.4,4.057
1993-09-17,352.3,4.0975
1993-09-20,353.5,4.111
1993-09-21,354.3,4.1075
1993-09-22,355.0,4.0735
1993-09-23,353.75,4.039
1993-09-24,357.4,4.142
1993-09-27,357.25,4.1075
1993-09-28,354.25,4.045
1993-09-29,354.55,4.0625
1993-09-30,352.65,4.03
1993-10-01,353.9,4.0575
1993-10-04,355.5,4.0875
1993-10-05,353.95,4.05
1993-10-06,353.5,4.1525
1993-10-07,356.9,4.33
1993-10-08,357.85,4.365
1993-10-11,360.55,4.3775
1993-10-12,359.6,4.2865
1993-10-13,366.6,4.4475
1993-10-14,365.9,4.4335
1993-10-15,365.35,4.3325
1993-10-18,365.0,4.355
1993-10-19,368.85,4.4535
1993-10-20,371.6,4.4925
1993-10-21,371.55,4.5115
1993-10-22,370.65,4.436
1993-10-25,371.5,4.4325
1993-10-26,368.5,4.3925
1993-10-27,368.65,4.3875
1993-10-28,369.1,4.42
1993-10-29,369.1,4.4025
1993-11-01,367.95,4.285
1993-11-02,362.5,4.2115
1993-11-03,363.0,4.2125
1993-11-04,369.1,4.3815
1993-11-05,374.4,4.4775
